1000, 4568720
11000, 70545626
21000, 139603293
31000, 144268642
41000, 305244042
51000, 326331366
61000, 308921886
71000, 588069174
81000, 575270625
91000, 581520076
101000, 590653293
111000, 588159498
121000, 596990800
131000, 581837093
141000, 1098240181
151000, 1128004840
161000, 1116749986
171000, 1148020629
181000, 1141977371
191000, 1127655071
201000, 1154368783
211000, 1141017673
221000, 1159246609
231000, 1149097949
241000, 1173745514
251000, 1186153959
261000, 1200672248
271000, 2217883539
281000, 2392933878
291000, 2476856201
301000, 2310601351
311000, 2255998568
321000, 3477159307
331000, 4377179262
341000, 4287161923
351000, 3393808424
361000, 2260430724
371000, 2304823782
381000, 2345083629
391000, 2757840787
401000, 2499722166
411000, 2388977934
421000, 2370000617
431000, 2391972640
441000, 2410133917
451000, 2304620386
461000, 2410185445
471000, 2332152845
481000, 2394897033
491000, 2387825473
