1, 24385
2, 37523
3, 13039
4, 12406
5, 15176
6, 14914
7, 17045
8, 16597
9, 129896
10, 19001
11, 25645
12, 26847
13, 27594
14, 27817
15, 23371
16, 24439
17, 27143
18, 26890
19, 22252
20, 22539
21, 22703
22, 24007
23, 24963
24, 25767
25, 27629
26, 27659
27, 30191
28, 32339
29, 31039
30, 33891
31, 35849
32, 37503
33, 39313
34, 40227
35, 53708
36, 44861
37, 45789
38, 46988
39, 49995
40, 49803
41, 49334
42, 51898
43, 107047
44, 57544
45, 60472
46, 62708
47, 62005
48, 63028
49, 64432
50, 79718
51, 73652
52, 70326
53, 73686
54, 73542
55, 77430
56, 76418
57, 78332
58, 85711
59, 79288
60, 87828
61, 101705
62, 92543
63, 93299
64, 95991
65, 147987
66, 101223
67, 101831
68, 107421
69, 116794
70, 116089
71, 128515
72, 118161
73, 121362
74, 123536
75, 126922
76, 122338
77, 130024
78, 131162
79, 3690914
80, 140886
81, 138396
82, 141254
83, 145786
84, 147258
85, 150366
86, 205910
87, 171729
88, 155803
89, 164753
90, 239285
91, 161392
92, 163605
93, 185773
94, 177751
95, 172263
96, 182793
97, 176687
98, 182473
99, 190802
100, 203778
101, 191674
102, 314979
103, 300187
104, 201125
105, 199529
106, 382798
107, 211326
108, 216564
109, 215305
110, 209934
111, 341480
112, 289703
113, 227381
114, 343918
115, 341138
116, 232067
117, 243031
118, 242687
119, 250391
120, 255865
121, 248408
122, 269476
123, 268538
124, 393035
125, 274264
126, 257139
127, 296395
128, 276370
129, 389669
130, 282134
131, 280670
132, 307451
133, 382665
134, 296948
135, 305487
136, 325698
137, 337026
138, 313050
139, 320431
140, 312113
141, 352450
142, 342058
143, 379653
144, 348670
145, 328153
146, 467046
147, 419832
148, 457194
149, 364105
150, 371045
151, 370247
152, 367814
153, 377475
154, 556950
155, 393726
156, 405918
157, 389543
158, 467667
159, 502193
160, 400394
161, 409326
162, 433011
163, 424289
164, 415144
165, 492692
166, 444839
167, 555320
168, 427026
169, 532479
170, 459901
171, 450483
172, 513151
173, 483254
174, 472606
175, 512695
176, 467553
177, 490145
178, 617478
179, 536963
180, 526669
181, 518372
182, 535472
183, 675818
184, 515035
185, 558230
186, 525045
187, 757322
188, 718107
189, 551272
190, 559338
191, 794649
192, 544198
193, 567653
194, 776130
195, 577657
196, 710317
197, 630910
198, 610388
199, 603971
200, 782747
201, 597929
202, 610675
203, 778244
204, 608434
205, 637470
206, 800929
207, 632473
208, 615092
209, 767288
210, 646020
211, 646842
212, 929207
213, 672815
214, 749914
215, 755094
216, 748441
217, 757284
218, 685866
219, 696732
220, 712643
221, 722519
222, 733854
223, 853738
224, 719319
225, 797143
226, 818072
227, 760896
228, 720793
229, 853297
230, 753186
231, 961088
232, 779891
233, 869664
234, 902998
235, 873391
236, 792103
237, 811356
238, 971284
239, 909182
240, 936071
241, 906184
242, 975650
243, 823330
244, 973674
245, 873460
246, 839441
247, 960010
248, 882074
249, 944880
250, 893292
251, 902844
252, 927651
253, 909667
254, 902416
255, 970500
256, 914149
257, 926555
258, 1123727
259, 1004627
260, 990839
261, 1020288
262, 986169
263, 973313
264, 995427
265, 993000
266, 1071145
267, 1016563
268, 1031844
269, 1038746
